country,points,price,variety,type,title,description
US,84,26,Red Blend,red,Sanglier Cellars 2011 Rouge du Tusque Red (Sonoma County),"It's explosive in jammy, pie-filling raspberries and cherries, with a hit of caramelized oak. Drink it now with simple fare."
US,88,30,Merlot,red,Gordon Estate 2012 Block 3 Reserve Merlot (Columbia Valley (WA)),"The oak (21 months spent in French and American) takes the lead, with aromas of baking spices, green wood and vanilla out in front of cherry. The flavors are sweet, supported by grainy tannins that show some dryness."
Italy,91,30,Sangiovese,red,Fontodi 2010  Chianti Classico,"Made from organic grapes, this succulent wine delivers balsamic aromas and juicy black cherry flavors layered with cinnamon and white pepper. It's radiant and structured, with big round tannins and edgy acidity. Drink 2015–2025."
Italy,87,24,Pinot Grigio,white,Conte d'Attimis-Maniago 2011 Pinot Grigio (Colli Orientali del Friuli),"This pretty Pinot Grigio opens with creamy aromas of melon, stone fruit and pear. It has a full, generous and persistent personality."
US,85,15,Chardonnay,white,Bowers Harbor 2013 Unwooded Chardonnay (Old Mission Peninsula),"Green apple with a squeeze of fresh lemon makes for a basic and easy unoaked Chardonnay. While standard and simple, this is a perfectly enjoyable wine to pair with lighter fare."
US,93,50,Syrah,red,Melville 2014 Donna's Syrah (Sta. Rita Hills),"Superfresh and fennel-laced on the nose, this cool-climate Syrah shows underripe plums, raspberry, charcoal, lavender, pepper sauce, thyme and forest underbrush on the nose. It's impressively floral on the energetic, not overly dense sip, with lavender, rosehip and white sage touches enlivening the dark red fruit."
Italy,88,120,Merlot,red,Tenuta Villa Trasqua 2008 Trasolo Merlot (Toscana),"Aromas of vanilla, prune and nutmeg lead the nose on this robust Merlot. The dense, monolithic palate offers raisin, leather and licorice alongside the heat of evident alcohol and drying tannins. It's shy on freshness and fruit richness so drink sooner rather than later."
US,89,12,Chardonnay,white,Pedroncelli 2009 Vintage Selection Chardonnay (Dry Creek Valley),"One of the best Chardonnays available at this price. Shows welcome restraint in the crisp, clean flavors of pineapples, Meyer lemons, pears and green apples, with just a touch of oak. If you just judge by price, you'll be amazed how complex and layered it is."
US,89,15,Pinot Noir,red,O'Reilly's 2006 Pinot Noir (Oregon),"This is hands-down the best value Pinot Noir made in Oregon, year in and year out. It's firm and full-bodied, perfectly ripe, with lovely spices that range from pepper to cinnamon and allspice. The fruit lingers in the midpalate, round and tangy, with flavors of cherry and plum. It's a thoroughly rich and satisfying wine that is big enough to work with dark poultry, salmon and even veal."
US,94,145,Cabernet Sauvignon,red,Merus 2009 Cabernet Sauvignon (Napa Valley),"This is marked by hard tannins and acidity, bearing blackberry, dark chocolate and mineral flavors, with a smoky oak note that is unintegrated with the other components. Will it age? There's a purity to the core that strongly suggests it will. Hold it until 2017, and it could develop bottle nuance well beyond that."
US,92,42,Cabernet Sauvignon,red,Stevens 2004 Reserve Cabernet Sauvignon (Yakima Valley),"Dark and dense, yet somehow soft and approachable, this 100% is once again loaded with rich black fruits. Everything is in balance, with a captivating tension strung between the fruit, acid and tannins. This is a wine you can't keep your lips off."
US,89,33,Rhône-style Red Blend,red,Gård 2011 Lawrence Vineyards Vaucluse Red (Columbia Valley (WA)),"In this pungent wine, Syrah is co-fermented with a touch of Viognier, then blended with 33% Grenache. Interesting scents of diesel, soil and stem wrap into the tight red berry fruit. It rounds into a rather soft, easy-drinking red that should be consumed through 2017."
US,88,22,Pinot Noir,red,Silvan Ridge 2005 Reserve Pinot Noir (Willamette Valley),"Forward and fruity, this has California-style fruit and sweet, strawberry candy. The difference is that it fills out the middle with some leafy, herbal flavors, nothing too rough, but enough to add some flavor interest. The finish is fat and buttery, showing the influence of oak aging."
France,86,11,White Blend,white,Domaine du Tariquet 2014 Classic White (Côtes de Gascogne),"From one of the largest private vineyards in France (2,300 acres), this wine epitomizes the light and fresh style that comes from Gascony in the hidden southwest of France. It is fruity, citrus-crisp with a touch of honey from the Gros Manseng in the blend. Drink now."
US,90,36,Red Blend,red,Doyenne 2006 Métier Red Wine Red (Columbia Valley (WA)),"Fruit compote—plum and strawberry—is melded to light toast and coffee. The wine has juicy acids and a thickly satisfying midpalate whose fruit flavors linger on, adding a little peppery spice as the wine evolves in the mouth. Just a whisp of chocolate leaves you ready for the next sip."
US,93,64,Pinot Noir,red,Arista 2013 Mononi Vineyard Pinot Noir (Russian River Valley),"From a tiny, three-acre vineyard, this wine is soft, seamless and delightfully floral, offering lithe layers of red cherry, tea and oak, barely able to rein in its savory underbrush of black earth. Crisp, the acidity is pronounced and lengthy and the rose aromatics irresistibly persistent."
US,88,15,Riesling,white,Red Newt Cellars 2013 Semi-Dry Riesling (Finger Lakes),"Fresh green sage and tarragon notes lend an herbaceous freshness to this elegant off-dry Riesling. It's dancingly delicate on the palate, but sunny yellow cherry and tangerine flavors are bright and concentrated."
US,94,45,Cabernet Sauvignon,red,Terra Valentine 2010 Estate Grown Cabernet Sauvignon (Spring Mountain District),"Exceptionally ripe, concentrated mountain fruit as well as hard tannins characterize this fresh, young Cabernet. Through the tannic astringency, intense flavors of black currants, dark chocolate and the sweet sap of oak shine through. Needs time. Hold until 2016 and see how it's doing."
Italy,87,35,Chardonnay,white,Spadafora 2011 Schietto Chardonnay (Sicilia),"Aged partly in barriques, it offers aromas of yellow apples, toast and butterscotch that carry over to the palate along with lemon drop, oak, toast and coffee bean. You'll also notice the alcohol."
US,84,12,Zinfandel,red,Rancho Zabaco 2000 Dancing Bull Zinfandel (California),"A simple, fruity Zin that blends damp soil and stewed berries with chocolate and toast. Mostly Lodi fruit, with bits and pieces of the blend coming from Mendocino, Sonoma and Paso Robles; also contains traces of Petite Sirah and Syrah."
US,90,50,Red Blend,red,Château Élan 2013 Les Petits Red (America),"This dark, potent, full-bodied wine is made from two of the darkest, most tannic grape varieties—Petit Verdot and Petite Syrah—and there is nothing petite about this blend. Its color is almost black and opaque, while aromas and flavors suggest smoke, blueberry and espresso. The texture is tannic but not overbearing."
Italy,88,30,Red Blend,red,Tenuta di Castellaro 2011 Nero Ossidiana Red (Sicilia),"Made by blending 60% Corinto, 20% Nero d'Avola and 20% other varieties, this opens with aromas of underbrush, game, leather, spice and mature black fruit. The warm palate delivers smooth tannins and flavors of blackberry, prune and black pepper. This isn't an ager, so drink soon."
Italy,90,40,Red Blend,red,Guicciardini Strozzi 2005 Ocra  (Bolgheri),"It's amazing how much this wine smells like peppermint. A blend of Cabernet, Merlot and Syrah, this is a distinctive wine that offers playful aromas of clove, cardamom, chocolate and rhubarb behind a solid wall of spearmint. It has tight tannins, a solid structure and fresh acidity."
France,90,37,Sauvignon Blanc,white,Domaine Roblin 2010 Ammonites  (Sancerre),"With three years' aging, this has developed into an almond- and toast-flavored wine that has softened and rounded the fruit. It has turned into a serious wine, its rich structure allied to the acidity. Ready to drink."
US,90,38,Syrah,red,Belharra 2015 Las Madres Vineyards Syrah (Carneros),"This is from a cool-climate 9-acre site divided into two blocks, cooled by afternoon breezes off San Pablo Bay. It shows off the site in its embrace of high-toned fruit flavors of plum, blueberry, cranberry and dried cherry, the background meaty in chewy tannin and concentrated oak."
France,90,34,Bordeaux-style Red Blend,red,Château le Grand Moulin 2015 Prélude No. 15  (Blaye Côtes de Bordeaux),"Mint aromas from new oak aging and spice and toast notes on the palate are part of this young, firm-structured wine. It 's powerful and dense, with great black fruit and acidity. A dry core of tannins indicates it will age. Drink from 2020."
France,84,22,Pinot Noir,red,Domaines Devillard 2009 Le Renard  (Bourgogne),"Structure goes with red berry fruits in this light, crisp wine. It has a tendency to a tight texture and lean tannins. Ready to drink."
France,94,40,Riesling,white,Domaine Fernand Engel 2014 Mandelberg Grand Cru Riesling (Alsace),"Earth and apple, citrus and herb all mingle on nose and palate. It is the green apple with its chamomile edge and above all the bright ripe lemon freshness which expands across the dry palate. This is full of bright refreshing citrus and a beautifully understated vigor which will live in this wine for years to come. The finish culminates in a gorgeously tart but ripe apple notion. Very moreish now and approachable but with lots of future promise. Drink 2017–2030."
US,88,22,Merlot,red,L'Ecole No. 41 2014 Merlot (Columbia Valley (WA)),"The aromas are barrel-forward at present, with notes of baking spice and vanilla in front of red fruit. The flavors are plump in feel but also come off as quite woody. There are lots of good things going on. Perhaps some additional time in the bottle will pull them all together."
France,91,36,Bordeaux-style Red Blend,red,Château Beauséjour 2014 Cuvée Spéciale  (Puisseguin Saint-Émilion),"This is a delicious ripe wine, full of black fruits and with generous tannins. Mint flavors come from the new wood aging and enhance the ripe berry flavors and acidity. Drink this structured wine from 2018."
US,84,25,Riesling,white,Black Box 2013 Riesling (Columbia Valley (WA)),"Moderately aromatic, this offers notes of red apple, jasmine, and peach. It drinks off dry leaning toward medium sweet, with abundant peach flavors with a creamy feel. It needs a bit more acidity to hold it all together."
France,88,21,Bordeaux-style Red Blend,red,Maison Givas 2014 Vin No. 09  (Lalande de Pomerol),"Full of jammy Merlot fruits, this is a smooth ripe wine. Dried fruits and tannins give the wine its varietal character. They are freshened by the acidity and black-currant fruitiness. The aftertaste allows the firm tannins to shine. Drink from 2017."
US,93,48,Cabernet Sauvignon,red,Volker Eisele Family Estate 2008 Cabernet Sauvignon (Napa Valley),"A distinguished, impressive Cabernet, obviously the result of fine grapegrowing and meticulous berry selection. It's bone dry, rich in tannins and firm, with mineral-infused blackberry and black currant flavors, brightened with crisp acidity. Will develop bottle complexity for a good eight years."
US,90,26,Cabernet Sauvignon,red,Steele 2014 Cabernet Sauvignon (Red Hills Lake County),"Full-bodied but easy to drink, this well-modulated wine from a section of Lake County known for excellent reds combines nicely ripe flavors with a smoothly tannic texture. It has ripe plum and raisin notes, a lightly spicy, smoky oak accent and a lingering finish."
US,88,42,Chardonnay,white,Buty 2015 Conner Lee Vineyard Chardonnay (Columbia Valley (WA)),"This wine is a bit reductive out of the gate, opening to reveal aromas of pear, peach, melon, lees and spice. The palate is creamy and textured in feel. If the aromas come together, it could move up a notch."
US,93,68,Pinot Noir,red,Red Car 2012 Estate Vineyard Pinot Noir (Fort Ross-Seaview),"Heftier than the producer's Platt Vineyard Pinot, this estate-grown wine features astoundingly bright acidity around dense black cherry fruit. It saw 10% stem inclusion during fermentation and was aged in 20% new oak for just over a year, a recipe that works to buoy the wine and give it plenty of complexity."
US,85,14,Cabernet Sauvignon,red,Fulkerson 2008 Cabernet Sauvignon (Finger Lakes),"Herbaceous and brisk, this elegant, medium-bodied Cabernet perks up on the palate with its crisp red-fruit and acidity. Straightforward yet pleasantly accented with hints of violet and black coffee, it would pair well with a variety of earthy, fall braises."
US,92,45,Syrah,red,JM Cellars 2012 Syrah (Columbia Valley (WA)),"This is Syrah co-fermented with Viognier coming from Boushey and Stillwater Creek vineyards. The aromas pop with notes of boysenberry cobbler, orange peel and whiffs of smoked meat, while the palate delivers intensity, flavor and richness."
US,90,55,Red Blend,red,Nicholas Cole Cellars 2005 Michele Red Wine Red (Walla Walla Valley (WA)),"Very ripe flavors of berries and figs dominate this Cab-centric Bordeaux blend, along with intriguing side notes suggesting melon and cassis, smoke and mocha. It's a big, sexy wine, its fruit flavors backed with thick, ripe, but chalky tannins. If there is a downside, it is that it comes off as a bit monolithic."
US,89,20,Cabernet Sauvignon,red,Concrete 2015 Cabernet Sauvignon (Lodi),"This big bold wine takes flavor to the limits. Spicy, peppery, beefy aromas and bold smoke, blueberry and clove flavors rely a lot on oak, but have a good concentrated fruit foundation underneath. It is full bodied, mouth-filling and nicely tannic."
US,87,25,Rhône-style Red Blend,red,Star Angel by Montes 2008 Red Wine Red (Paso Robles),"Soft, velvety and fruity, with chocolate, black raspberry, currant and oak flavors this blend is spiced up with white pepper and cinnamon notes. Drink this hearty wine with stews, barbecue or pasta."
France,82,13,Bordeaux-style Red Blend,red,Trocard 2009  Bordeaux Supérieur,"There is an awkwardness to this wine, coming from the overripe fruit and juicy character. It lacks structure and will likely age quickly."
US,84,42,Merlot,red,Sunstone 2005 Estate Merlot (Santa Ynez Valley),"Tastes like a dessert pastry, with baked cherry, cassis, peppermint, milk chocolate and anise flavors that are a little sweet and honeyed. Pleasant, but not impactful. Drink now."
France,90,50,Bordeaux-style Red Blend,red,Château La Garricq 2011  Moulis-en-Médoc,"From an eight-acre vineyard, this is produced by the same team as Château Paloumey. Powerful and concentrated, it is also elegant, balancing its structure with good berry fruits and acidity. The tannins are still considerable, so drink from 2017."
Italy,91,29,Red Blend,red,Canneto 2009  Vino Nobile di Montepulciano,"Here's a savory selection, offering earthy and balsamic aromas of underbrush, tobacco and Mediterranean herbs. The restrained palate reveals ripe plum, cassis and licorice notes layered with chewy tannins and a warm midpalate."
France,92,68,Chardonnay,white,Bruno Paillard NV Blanc de Blancs Grand Cru Extra Brut Chardonnay (Champagne),"From Grand Cru vineyards in the Côte des Blancs, this fresh and fruity wine is now at its peak of crispness and minerality. It has concentration and a lively texture with white fruits, citrus and a bright, tight aftertaste. It could age after purchase, although there is no need."
Italy,93,70,Sangiovese,red,Fattoria di Corsignano 2012 L'Imperatrice Gran Selezione  (Chianti Classico),"Aromas of dark plum, sun-baked soil, cooking spice and grilled herb flow together in the glass. Made entirely with Sangiovese, the palate shows breeding and class, offering ripe black cherry, ground pepper, tobacco and aniseed alongside youthfully austere tannins. Give this time to fully develop. Drink 2017–2027."
US,86,38,Syrah,red,Bella 2005 Lily Hill Estate Syrah (Dry Creek Valley),"Bella has a spotty record with this wine. The '05, from a cooler vintage, shows a Northern Rhône dryness and peppery taste, with good blackberry and currant flavors. But the tannins are very hard, almost old-fashioned in the way they shut the palate down."
US,87,65,Cabernet Sauvignon,red,Vellum 2008 Cabernet Sauvignon (Napa Valley),"Impressive from the start for its rich blackberry and dark chocolate flavors, thick tannins and sweet overlay of smoky oak. Could be an ager, but some bitterness in the middle suggests the fruit will fall out before the tannins resolve."
US,87,22,Riesling,white,Anam Cara 2011 Nicholas Estate Dry Riesling (Chehalem Mountains),"Seemingly as tart as a Riesling can get despite having residual sugar of 1.2%, this lemony lip-smacker shows good concentration. It would be a gem with the right foods, but on its own, the searingly tart acids may be too much for most tasters."
US,87,13,Chardonnay,white,Layer Cake 2012 Chardonnay (Central Coast),"With a motto of “affordable luxury,” Layer Cake sources Chardonnay fruit from the fringes of pricey appellations. In this case it draws from Monterey County vineyards near the Santa Lucia Highlands and Santa Barbara County vineyard between the Santa Maria Valley and the Sta. Rita Hills. The results are solid for the price, with expressive aromas of honeydew and vanilla soda, and a palate of juicy melon and toasted oak. It is slightly boozy, so very much in the cocktail style, and is not for those afraid of oak."
US,84,50,Cabernet Sauvignon,red,Brander 2006 Reserve Cabernet Sauvignon (Santa Ynez Valley),"Dry and rich in tannins, but not quite ripe, with a vegetal note to the blackberries and cherries. Drink now."
US,90,36,Red Blend,red,Lowden Hills 2008 Twelve Red Red (Columbia Valley (WA)),"A super Tuscan blend, half Sangiovese, the other half split between Cabernet Sauvignon and Syrah. It's quite a success; bright and spicy, the fruit flavors crisply defined, mixing raspberry, blackberry and cherry. Clean and deep, with polished tannins, and just a hint of heat in the finish."
US,86,85,Syrah,red,Sanguis 2010 1/1 Syrah (Santa Barbara County),"An eccentric wine, very high in alcohol, yet there's a strange vegetal element. Otherwise, it's all about sweet blackberry jam, mushu plum sauce, white pepper and charred bacon. The green veggie note, which winemaker Matthias Pippig describes as “savage”, persists into the finish."
France,85,21,Sauvignon Blanc,white,Domaine Patrice Moreux 2012  Pouilly-Fumé,"Light and textured, it's packed with lime and lemon flavors with a hint of sage. As dry as a bone, it's very much for food and is ready to drink."
US,88,50,Red Blend,red,Alexander the Grape 2011 The Conqueror Klipsun Vineyards Red (Red Mountain),"This blend of Merlot, Cabernet Sauvignon and Syrah brings aromas of Mounds Bar, spice and cherry. The flavors are tightly wound, showing a mixture of fruit and barrel with a persistent finish. The oak rides heavy but there are good things going on."
France,92,46,Chardonnay,white,Domaine Gérard Duplessis 2013 Fourchaume Premier Cru  (Chablis),"Close to the slope of Grand Crus, Fourchaume is one of the best known of the premiers in Chablis. This ripe wine with its touches of vanilla as well as yellow fruits and acidity has a lightly honeyed character typical of the vintage. It is ready to drink, although it will be better from 2017."
France,92,65,Sauvignon Blanc,white,Domaine Vacheron 2014 Guigne-Chèvres  (Sancerre),"From a biodynamic vineyard in the heart of Sancerre, this wine is tight, mineral-driven and very young, well balanced between herbal and citrus flavors. These are lifted and filled out with the ripe Rocha pear flavors that give an extra juicy element. The wine will age well and will be better after 2018."
US,86,59,Cabernet Sauvignon,red,Prime Solum 2013 Cabernet Sauvignon (Napa Valley),"This syrupy, dense red exhibits tobacco and root beer flavors, framed with chunky tannins. Blackberry and black current fruit barely show through its leathery texture and profound weight."
US,92,35,Merlot,red,Ballentine 2014 Estate Grown Merlot (Napa Valley),"Handfuls of Cabernet Franc and Petit Verdot figure into this wine, a lovely, medium-bodied beauty that finds balance in its measured use of oak. Vanilla, plum and bold jolts of pepper and cinnamon combine well on the lengthy palate."
US,90,36,Syrah,red,Margerum 2007 Colson Canyon Vineyard Syrah (Santa Barbara County),"If more Syrah tasted like this, more people would drink it. Beautifully ripe and soft, pure and rich in cherry and raspberry liqueur, smoke and pepper flavors. Ready now."
US,90,70,Cabernet Sauvignon,red,Freemark Abbey 2006 Sycamore Vineyard Cabernet Sauvignon (Rutherford),"This is a powerful, gutsy Cabernet, currently lacking finesse. It's young, dry and brash, with sticky tannins and unmelded flavors and textures. The blackberry, cherry and oak flavors are sweet and delicious. Seems best now and soon, although it could be a sleeper."
France,88,25,Riesling,white,Cave de Kientzheim-Kaysersberg 2010 Exception Riesling (Alsace),"This is a ripe, delicately tropical and fruity wine with rich texture. It is smooth, rounded on the palate, but accompanied by a shot of acidity. The lemon aftertaste hints at a more steely character."
US,84,9,Pinot Noir,red,Smoking Loon 2001 Pinot Noir (California),"From Sebastiani, proof that Pinot Noir has been overplanted in California. This has some pleasant Pinot character in the cherry, spice and earth flavors and light, silky tannins, but it's a simple, one-dimensional wine."
US,87,60,Pinot Noir,red,Tudor Wines 2007 Balo Vineyard Pinot Noir (Anderson Valley),"A good, dry Pinot Noir, tart in acidity, and showing flavors of sour cherries, currants and beef jerky, sweetened with caramelized oak. It's a little rustic, but elegant. Drink now."
Italy,87,15,Sangiovese,red,Bonacchi 2013 Casalino Riserva  (Chianti Classico),"Blue flower, iris, used leather and woodland berry aromas float out of the glass. The easygoing palate offers red cherry, white pepper and a hint of anise accompanied by soft relaxed tannins. Drink through 2017."
US,91,55,Pinot Noir,red,Willamette Valley Vineyards 2013 Bernau Block Pinot Noir (Willamette Valley),"Planted in 1983, this is the original Willamette Valley Vineyards estate vineyard. These old vines give an extra dollop of herb and stem, well integrated into concentrated raspberry and cherry fruit. This has the tannic muscle and acid underpinning to age well. Drink now–2025."
US,87,15,Riesling,white,Heron Hill 2008 Ingle Vineyard Riesling (Finger Lakes),"Zippy and fresh with a gentle prickle on the tongue, this dry Riesling smells of sweet, fresh apples laced with just a hint of petrol. On the palate, soft apple and pear flavors are edged with slate and stones, and a shower of fresh lime on the finish."
US,84,18,Chardonnay,white,Laurier 2009 Chardonnay (Los Carneros),"Like a fruit juice drink, with sugary pineapple, mango and orange flavors. The acidity is bright, but this Chardonnay is more like a dessert wine than a dry table wine."
US,84,20,Cabernet Sauvignon,red,Weinstock Cellars 2009 Cellar Select Cabernet Sauvignon (Napa County),"This is nicely dry and rich in fine tannins, with classic Cabernet blackberry, black currant, cola and cedar flavors. But the wine is so soft, it lacks structural integrity."
US,88,16,White Blend,white,Heron Hill 2015 Eclipse White (New York),"This dry light-footed blend of Chardonnay, Pinot Blanc and Pinot Gris offers zesty grapefruit and lemon flavors edged with white tea leaves. Balanced in alcohol, subtle and refreshing, it finishes on a clean, slightly mineral tone."
US,87,20,Cabernet Sauvignon,red,Barra of Mendocino 2014 Estate Grown Cabernet Sauvignon (Mendocino),"Drenched with luscious grapey flavors, this medium-bodied wine soothes the palate. Its texture is smooth and carries the fruitiness through the aftertaste."
US,87,100,Zinfandel,red,Renwood 2010 Grand Wren Zinfandel (Amador County),"Encapsulated in a big, beautifully etched bottle with black wax closure, Grand Wren is a grand statement—an explosion of smoke, leather and ripe fruit. It's smooth in texture, but with streaks of bright acidity throughout. The finish is big and bold with a Port-like intensity."
US,87,17,Red Blend,red,Pendulum 2015 Red (Columbia Valley (WA)),"This blend of Petit Verdot (28%), Malbec (27%), Syrah (20%), Cabernet Sauvignon (16%) and Merlot (9%) leads with wild blueberry, crushed flower, herb, vanilla and spice aromas. Soft, elegant blueberry flavors follow, persisting on the finish. Light on the midpalate, it still brings appeal."
US,88,14,Riesling,white,Heron Hill 2014 Semi-Dry Riesling (Finger Lakes),"The nose on this semi-dry Riesling is a touch savory, brimming with green herb, pressed apple and pear aromas. The palate, however, turns fresher, floral and fruity, filling the mouth with sweet-tart grapefruit and peach flavors. Nervy acidity extends a moderately long finish."
US,92,60,Cabernet Sauvignon,red,Efeste 2013 Big Papa Old Block Cabernet Sauvignon (Columbia Valley (WA)),"This is the first vintage of this wine to include estate fruit, along with fruit from Klipsun, Bacchus and Red Willow. A complex medley of herb and spice aromas accented by purple flowers is followed by bold yet still refined dark-fruit flavors that linger on the finish. It has the tannin to go the distance. Best after 2020."
US,84,29,Chardonnay,white,Paradise Springs 2013 Chardonnay (Virginia),"A faint nose of lemon starts things off. Simple and clean on the palate, that same citrus character pervades, keeping things short and snappy."
US,92,50,Chardonnay,white,Amalie Robert 2013 Pabuk's Gift Late Harvest Chardonnay (Willamette Valley),"Typhoon Pabuk drenched the valley during harvest and botrytised these grapes. Making lemonade out of that lemon, the winery hand-sorted the grapes and crafted this ultrarich dessert wine. Dense flavors of butterscotch and sweet lemon candy make a potent combo. One half-size bottle will easily satisfy four sweet tooths."
US,86,14,Riesling,white,Lucas Vineyards 2010 Semi-Dry Riesling (Finger Lakes),"While initially a bit musky and waxy on the nose, this Riesling gains strength on the palate as it offers rich honey and red apple flavors. The lemon-lime-like acidity lingers on the finish."
US,92,99,Cabernet Sauvignon,red,Tobacco Road 2008 Private Reserve Cabernet Sauvignon (Napa Valley),"This private reserve is 93% Cabernet Sauvignon, 5% Malbec and 2% Petit Verdot, aged considerably in bottle. Rich and full-bodied, it has a vanilla-kissed nose and earthy leather pedigree, the black cherry flavor concentrated and thick."
US,90,40,Pinot Noir,red,Drew 2009 Valenti Vineyard Pinot Noir (Mendocino Ridge),"The Mendocino Ridge appellation, which is defined by elevation boundaries, borders Anderson Valley. This Pinot shows cool-climate crispness but also fog-free, ripe flavors of raspberries and cherries that are deep and impressive. With a thick, juvenile mouthfeel, the wine should develop interesting bottle complexities over the next five years."
US,83,11,Red Blend,red,Bogle 2011 Essential Red (California),"The blend is Zinfandel, Syrah, Cabernet Sauvignon and Petite Sirah. The wine is soft and luscious, with cherry candy and vanilla flavors."
US,91,16,Zinfandel,red,Villa Mt. Eden 2004 Grand Reserve Antique Vines Zinfandel (Napa-Amador),"This two-region Zin is from Atlas Peak and Amador County. It shows a really great Zin quality in the leathery spiciness that accompanies the berry flavors, and in the smooth, polished tannins. Amador seems to bring wildness, while Napa brings elegance. The result is a great Zinfandel at a great price."
US,84,15,Pinot Noir,red,Barefoot Cellars 1999 Pinot Noir (Sonoma County),"Light and delicate, it attracts more for its stylish finesse than for any power or ageability. Berry and earth flavors are framed in modest tannins and soft acids, and there's some bitterness from the middle palate through the finish."
France,93,35,Pinot Gris,white,Domaine Charles Frey 2015 Frankstein Grand Cru Vendanges Tardives Pinot Gris (Alsace),"A mellow touch of ripe Red Delicious apple hovers on the nose. The palate brims with rich fruit, showing candied pear and dried apple. This richness is countered by a pleasantly bitter phenolic edge and a pure streak of fresh zestiness. A touch of sandalwood and cinnamon adds spice around the edges. While this is attractive now, it will reward cellaring as far more interesting notes of spice and fruit are sure to develop. Drink 2020–2030."
US,88,23,Sauvignon Blanc,white,Robert Mondavi 2000 SLD Sauvignon Blanc (Stags Leap District),"Very grassy and citrusy, with hints of garden-fresh vegetables and a slight floral note. It's light and almost airy on the tongue, finishing crisp and clean. A refreshing burst of anise caps things off."
France,85,28,Chardonnay,white,Domaine des Valanges 2014  Pouilly-Fuissé,"This wine is tight with the lightest hints of riper fruit in the future. It has spice, toast flavors and suggestions of yellow fruit. Wait to drink this wine until 2017."
US,92,36,Merlot,red,Keenan 2007 Merlot (Napa Valley),"A delicious Merlot, drily tannic and rich in blackberries, cherries and chocolate. Nearly as good as the winery's much more expensive Reserve. Great with grilled steak with sautéed mushrooms."
US,93,55,Chardonnay,white,Sixto 2012 Moxee Chardonnay (Washington),"This directly appealing wine brings notes of the underside of a pineapple, chamomile, talc, wet stone and apricot, mixing delicacy and nuance. It's creamy in feel with rich, concentrated fruit flavors and a long, detailed finish."
Italy,89,60,Red Blend,red,Tedeschi 2009  Amarone della Valpolicella Classico,"This has fragrances of ripe black cherry, raisin and a touch of leather. The palate delivers raisin and raspberry flavors, along with spicy black pepper notes. The palate is a bit evolved, showing tertiary notes."
US,84,55,Pinot Noir,red,Rocking K 2010 Single Vineyard Pinot Noir (Carneros),"Thin and dry, this wine has Pinot's silky mouthfeel, but little else. The mushroom, cola and spearmint flavors are relieved by some cherry fruit. Not going anywhere, so drink up."
